car id,timestamp,local x,local y,global x,global y,speed,classes
9911,1822698564,49,1,1,1,underLimit,Doctor
9912,1322625564,6,50,2,4,OverLimit,Student
9913,1122692564,92,31,6,5,underLimit,Doctor
9914,15127695564,62,14,10,3,underLimit,Eng.
9915,14777692564,93,85,4,5,underLimit,Teacher
9916,18749198364,17,69,5,9,underLimit,Eng.
9917,22720704164,28,68,8,5,normal,Eng.
9918,26692209964,-612,65,8,6,normal,Unknown
9919,30663715764,95,1,5,10,normal,Unknown
9920,34635221564,35,62,7,2,normal,Unknown
9921,38606727364,43,47,5,3,OverLimit,Student
9922,42578233164,97,91,5,10,underLimit,Student
9923,46549738964,78,50,9,7,normal,Unknown
9924,50521244764,18,84,2,5,underLimit,Doctor
9925,54492750564,73,70,10,8,normal,Unknown
9926,58464256364,-193,8,-1,3,OverLimit,Doctor
9927,62435762164,26,81,7,10,OverLimit,Doctor
9928,66407267964,32,29,1,-3,underLimit,Doctor
9929,70378773764,83,95,7,10,normal,Unknown
9930,74350279564,25,31,6,0,normal,Unknown
9931,78321785364,75,96,4,9,underLimit,Doctor
9932,82293291164,37,62,9,8,OverLimit,Doctor
9933,86264796964,91,68,10,0,normal,Unknown
9934,90236302764,50,-147,7,5,OverLimit,Student
9935,94207808564,17,87,0,9,normal,Unknown
9936,98179314364,12,68,7,9,normal,Unknown
9937,1.02E+11,80,52,8,3,underLimit,Doctor
9938,1.06E+11,78,55,1,3,underLimit,Eng.
9939,1.10E+11,49,97,7,7,normal,Unknown
9940,1.14E+11,0,81,7,3,OverLimit,Student
9941,1.18E+11,12,77,1,8,normal,Unknown
9942,1.22E+11,93,29,8,6,underLimit,Doctor
9943,1.26E+11,13,22,0,0,normal,Unknown
9944,1.30E+11,56,59,7,1,underLimit,Doctor
9945,1.34E+11,66,16,9,9,underLimit,Doctor
9946,1.38E+11,97,54,6,10,OverLimit,Doctor
9947,1.42E+11,2,13,2,6,normal,Unknown
9948,1.46E+11,16,14,10,8,normal,Unknown
9949,1.50E+11,39,70,9,9,normal,Unknown
9950,1.54E+11,20,69,10,9,normal,Unknown
9951,1.58E+11,25,48,10,3,normal,Unknown
9952,1.62E+11,12,73,4,10,underLimit,Doctor
9953,1.66E+11,70,74,1,2,normal,Unknown
9954,1.70E+11,85,-199,10,4,normal,Unknown
9955,1.74E+11,99,-62,5,7,normal,Unknown
9956,1.78E+11,87,23,8,10,normal,Unknown
9957,1.82E+11,9,10,8,5,normal,Unknown
9958,1.86E+11,57,16,7,0,underLimit,Doctor
9959,1.90E+11,1,18,8,10,normal,Unknown
9960,1.93E+11,19,17,1,0,underLimit,Teacher
9961,1.97E+11,63,47,3,3,normal,Unknown
9962,2.01E+11,17,77,6,9,normal,Unknown
9963,2.05E+11,22,36,-2,8,normal,Unknown
9964,2.09E+11,47,40,9,2,normal,Unknown
9965,2.13E+11,92,21,7,0,normal,Unknown
9966,2.17E+11,27,-53,7,9,normal,Unknown
9967,2.21E+11,15,46,1,1,normal,Unknown
9968,2.25E+11,19,48,0,8,OverLimit,Teacher
9969,2.29E+11,43,51,-5,6,OverLimit,Eng.
9970,2.33E+11,60,9,9,4,normal,Unknown
9971,2.37E+11,96,-188,4,7,OverLimit,Teacher
9972,2.41E+11,26,8,3,5,underLimit,Doctor
9973,2.45E+11,56,90,5,5,underLimit,Student
9974,2.49E+11,56,98,1,2,normal,Unknown
9975,2.53E+11,52,83,-3,5,OverLimit,Teacher
9976,2.57E+11,30,13,9,7,underLimit,Doctor
9977,2.61E+11,28,-14,9,4,normal,Unknown
9978,2.65E+11,52,26,4,8,normal,Unknown
9979,2.69E+11,95,56,2,2,normal,Unknown
9980,2.73E+11,70,77,6,3,normal,Unknown
9981,2.77E+11,72,0,3,3,underLimit,Teacher
9982,2.81E+11,91,12,8,9,underLimit,Teacher
9983,2.85E+11,54,18,7,4,underLimit,Doctor
9984,2.89E+11,17,93,5,4,normal,Unknown
9985,2.93E+11,43,46,0,4,underLimit,Doctor
9986,2.97E+11,51,37,2,10,normal,Unknown
9987,3.01E+11,71,-100,10,10,normal,Unknown
9988,3.05E+11,19,57,2,4,normal,Unknown
9989,3.09E+11,76,4,9,0,OverLimit,Student
9990,3.13E+11,36,40,10,1,underLimit,Student
9991,3.17E+11,56,-84,2,4,OverLimit,Doctor
9992,3.21E+11,38,17,7,5,underLimit,Student
9993,3.25E+11,79,89,3,5,normal,Unknown
9994,3.29E+11,97,46,2,7,OverLimit,Teacher
9995,3.32E+11,59,94,2,9,normal,Unknown
9996,3.36E+11,79,19,1,10,normal,Unknown
9997,3.40E+11,55,43,7,1,underLimit,Doctor
